Embedding data shape: (3079, 768)
Epoch 487/1000, Loss: 11.8721
Epoch 488/1000, Loss: 11.8854
Epoch 489/1000, Loss: 11.9175
Epoch 490/1000, Loss: 11.9169
Epoch 491/1000, Loss: 11.8786
Epoch 492/1000, Loss: 11.8683
Epoch 493/1000, Loss: 11.9054
Epoch 494/1000, Loss: 11.9040
Epoch 495/1000, Loss: 11.8904
Epoch 496/1000, Loss: 11.9058
Epoch 497/1000, Loss: 11.8655
Epoch 498/1000, Loss: 11.8511
Epoch 499/1000, Loss: 11.9144
Epoch 500/1000, Loss: 11.8828
Epoch 501/1000, Loss: 11.8761
Epoch 502/1000, Loss: 11.8932
Epoch 503/1000, Loss: 11.8696
Epoch 504/1000, Loss: 11.8921
Epoch 505/1000, Loss: 11.8961
Epoch 506/1000, Loss: 11.8994
Epoch 507/1000, Loss: 11.8986
Epoch 508/1000, Loss: 11.9020
Epoch 509/1000, Loss: 11.8966
Epoch 510/1000, Loss: 11.8697
Epoch 511/1000, Loss: 11.9012
Epoch 512/1000, Loss: 11.8635
Epoch 513/1000, Loss: 11.8440
Epoch 514/1000, Loss: 11.8792
Epoch 515/1000, Loss: 11.8582
Epoch 516/1000, Loss: 11.8752
Epoch 517/1000, Loss: 11.9177
Epoch 518/1000, Loss: 11.8780
Epoch 519/1000, Loss: 11.8610
Epoch 520/1000, Loss: 11.9030
Epoch 521/1000, Loss: 11.8692
Epoch 522/1000, Loss: 11.8855
Epoch 523/1000, Loss: 11.8652
Epoch 524/1000, Loss: 11.8557
Epoch 525/1000, Loss: 11.8862
Epoch 526/1000, Loss: 11.9015
Epoch 527/1000, Loss: 11.8765
Epoch 528/1000, Loss: 11.8916
Epoch 529/1000, Loss: 11.8656
Epoch 530/1000, Loss: 11.8852
Epoch 531/1000, Loss: 11.8813
Epoch 532/1000, Loss: 11.8843
Epoch 533/1000, Loss: 11.8912
Epoch 534/1000, Loss: 11.8826
Epoch 535/1000, Loss: 11.8840
Epoch 536/1000, Loss: 11.8379
Epoch 537/1000, Loss: 11.8631
Epoch 538/1000, Loss: 11.8659
Epoch 539/1000, Loss: 11.8948
Epoch 540/1000, Loss: 11.8835
Epoch 541/1000, Loss: 11.8504
Epoch 542/1000, Loss: 11.8584
Epoch 543/1000, Loss: 11.8527
Epoch 544/1000, Loss: 11.8726
Epoch 545/1000, Loss: 11.9103
Epoch 546/1000, Loss: 11.8879
Epoch 547/1000, Loss: 11.8856
Epoch 548/1000, Loss: 11.8779
Epoch 549/1000, Loss: 11.8868
Epoch 550/1000, Loss: 11.8701
Epoch 551/1000, Loss: 11.8685
Epoch 552/1000, Loss: 11.8753
Epoch 553/1000, Loss: 11.8946
Epoch 554/1000, Loss: 11.8661
Epoch 555/1000, Loss: 11.8774
Epoch 556/1000, Loss: 11.8552
Epoch 557/1000, Loss: 11.8785
Epoch 558/1000, Loss: 11.8474
Epoch 559/1000, Loss: 11.8576
Epoch 560/1000, Loss: 11.8900
Epoch 561/1000, Loss: 11.8689
Epoch 562/1000, Loss: 11.8773
Epoch 563/1000, Loss: 11.8957
Epoch 564/1000, Loss: 11.9007
Epoch 565/1000, Loss: 11.8666
Epoch 566/1000, Loss: 11.8602
Epoch 567/1000, Loss: 11.8449
Epoch 568/1000, Loss: 11.8612
Epoch 569/1000, Loss: 11.8723
Epoch 570/1000, Loss: 11.8660
Epoch 571/1000, Loss: 11.8836
Epoch 572/1000, Loss: 11.8720
Epoch 573/1000, Loss: 11.8749
Epoch 574/1000, Loss: 11.8629
Epoch 575/1000, Loss: 11.8733
Epoch 576/1000, Loss: 11.8637
Epoch 577/1000, Loss: 11.8706
Epoch 578/1000, Loss: 11.8634
Epoch 579/1000, Loss: 11.8616
Epoch 580/1000, Loss: 11.8840
Epoch 581/1000, Loss: 11.8664
Epoch 582/1000, Loss: 11.8629
Epoch 583/1000, Loss: 11.8818
Epoch 584/1000, Loss: 11.8808
Epoch 585/1000, Loss: 11.8652
Epoch 586/1000, Loss: 11.8811
Epoch 587/1000, Loss: 11.8614
Epoch 588/1000, Loss: 11.8715
Epoch 589/1000, Loss: 11.8717
Epoch 590/1000, Loss: 11.8767
Epoch 591/1000, Loss: 11.8673
Epoch 592/1000, Loss: 11.8766
Epoch 593/1000, Loss: 11.8502
Epoch 594/1000, Loss: 11.8843
Epoch 595/1000, Loss: 11.8774
Epoch 596/1000, Loss: 11.8782
Epoch 597/1000, Loss: 11.8630
Epoch 598/1000, Loss: 11.8434
Epoch 599/1000, Loss: 11.8676
Epoch 600/1000, Loss: 11.8537
Epoch 601/1000, Loss: 11.8767
Epoch 602/1000, Loss: 11.8822
Epoch 603/1000, Loss: 11.8950
Epoch 604/1000, Loss: 11.8786
Epoch 605/1000, Loss: 11.8778
Epoch 606/1000, Loss: 11.8600
Epoch 607/1000, Loss: 11.8702
Epoch 608/1000, Loss: 11.8993
Epoch 609/1000, Loss: 11.8846
Epoch 610/1000, Loss: 11.8678
Epoch 611/1000, Loss: 11.8602
Epoch 612/1000, Loss: 11.8528
Epoch 613/1000, Loss: 11.8485
Epoch 614/1000, Loss: 11.8545
Epoch 615/1000, Loss: 11.8498
Epoch 616/1000, Loss: 11.8493
Epoch 617/1000, Loss: 11.8700
Epoch 618/1000, Loss: 11.8653
Epoch 619/1000, Loss: 11.8688
Epoch 620/1000, Loss: 11.8550
Epoch 621/1000, Loss: 11.8341
Epoch 622/1000, Loss: 11.8659
Epoch 623/1000, Loss: 11.8591
Epoch 624/1000, Loss: 11.8830
Epoch 625/1000, Loss: 11.8552
Epoch 626/1000, Loss: 11.8770
Epoch 627/1000, Loss: 11.8386
Epoch 628/1000, Loss: 11.8582
Epoch 629/1000, Loss: 11.8648
Epoch 630/1000, Loss: 11.8639
Epoch 631/1000, Loss: 11.8874
Epoch 632/1000, Loss: 11.8676
Epoch 633/1000, Loss: 11.8480
Epoch 634/1000, Loss: 11.8970
Epoch 635/1000, Loss: 11.8438
Epoch 636/1000, Loss: 11.8563
Epoch 637/1000, Loss: 11.8464
Epoch 638/1000, Loss: 11.8520
Epoch 639/1000, Loss: 11.8426
Epoch 640/1000, Loss: 11.8666
Epoch 641/1000, Loss: 11.8396
Epoch 642/1000, Loss: 11.8656
Epoch 643/1000, Loss: 11.8813
Epoch 644/1000, Loss: 11.8791
Epoch 645/1000, Loss: 11.8859
Epoch 646/1000, Loss: 11.8544
Epoch 647/1000, Loss: 11.8405
Epoch 648/1000, Loss: 11.8500
Epoch 649/1000, Loss: 11.8498
Epoch 650/1000, Loss: 11.8584
Epoch 651/1000, Loss: 11.8613
Epoch 652/1000, Loss: 11.8648
Epoch 653/1000, Loss: 11.8524
Epoch 654/1000, Loss: 11.8528
Epoch 655/1000, Loss: 11.8585
Epoch 656/1000, Loss: 11.8654
Epoch 657/1000, Loss: 11.8597
Epoch 658/1000, Loss: 11.8548
Epoch 659/1000, Loss: 11.8596
Epoch 660/1000, Loss: 11.8791
Epoch 661/1000, Loss: 11.8731
Epoch 662/1000, Loss: 11.8410
Epoch 663/1000, Loss: 11.8644
Epoch 664/1000, Loss: 11.8458
Epoch 665/1000, Loss: 11.8510
Epoch 666/1000, Loss: 11.8591
Epoch 667/1000, Loss: 11.8707
Epoch 668/1000, Loss: 11.8559
Epoch 669/1000, Loss: 11.8346
Epoch 670/1000, Loss: 11.8744
Epoch 671/1000, Loss: 11.8496
Epoch 672/1000, Loss: 11.8548
Epoch 673/1000, Loss: 11.8523
Epoch 674/1000, Loss: 11.8460
Epoch 675/1000, Loss: 11.8518
Epoch 676/1000, Loss: 11.8440
Epoch 677/1000, Loss: 11.8386
Epoch 678/1000, Loss: 11.8279
Epoch 679/1000, Loss: 11.8484
Epoch 680/1000, Loss: 11.8376
Epoch 681/1000, Loss: 11.8631
Epoch 682/1000, Loss: 11.8537
Epoch 683/1000, Loss: 11.8635
Epoch 684/1000, Loss: 11.8484
Epoch 685/1000, Loss: 11.8566
Epoch 686/1000, Loss: 11.8589
Epoch 687/1000, Loss: 11.8540
Epoch 688/1000, Loss: 11.8278
Epoch 689/1000, Loss: 11.8610
Epoch 690/1000, Loss: 11.8824
Epoch 691/1000, Loss: 11.8776
Epoch 692/1000, Loss: 11.8301
Epoch 693/1000, Loss: 11.8559
Epoch 694/1000, Loss: 11.8456
Epoch 695/1000, Loss: 11.8420
Epoch 696/1000, Loss: 11.8421
